"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
10009,"C([*])C([*])(C(=O)OCCCC)",5.8,3.11,NA,NA,1.67,-5.4,NA,1.08,7.18,0.71,0.42,NA,320,219,NA,18.47,NA,NA,116.07,NA,231,118.7
10010,"C([*])C([*])(C(=O)OC(C=C1)=CC=C1[Cl])",4.01,3.37,NA,NA,1.8,-5.98,NA,1.33,5.86,2.07,0.56,NA,NA,345,NA,20.12,NA,NA,175.55,NA,NA,140
10011,"C([*])C([*])(C(=O)OCCC#N)",5.98,3.3,NA,NA,1.66,-5.58,NA,1.33,6.54,0.88,0.83,NA,NA,294,NA,24.12,NA,NA,118.07,NA,NA,89.2
10012,"C([*])C([*])(C(=O)OCC#N)",6.24,3.4,NA,NA,1.67,-5.66,NA,1.42,6.68,1.09,0.59,NA,NA,307,NA,26.07,NA,NA,106.06,NA,NA,82.1
10013,"C([*])C([*])(C(=O)OC1CCCCC1)",6.51,3.14,NA,NA,1.63,-5.51,NA,1.07,7.23,0.59,NA,NA,NA,309,NA,18.48,NA,NA,140.09,NA,NA,142.7
10014,"C([*])C([*])(C(=O)OCC)",5.76,3.21,NA,NA,1.68,-5.49,NA,1.16,6.98,0.86,0.34,NA,NA,251,NA,19.11,NA,NA,92.05,8200,180,89.4
10015,"C([*])C([*])(C(=O)OCC(CC)CCCC)",5.85,3,NA,NA,1.66,-5.31,NA,1.01,7.13,0.6,0.68,NA,NA,223,NA,17.79,NA,NA,164.12,NA,NA,191.8
10016,"C([*])C([*])(C(=O)OCC)([Cl])",5.06,3.25,NA,NA,1.7,-5.4,NA,1.33,5.79,1.32,NA,NA,NA,370,NA,20.22,NA,NA,127.5,NA,NA,NA
10017,"C([*])C([*])(C(=O)OCCCCCC)",5.78,3.06,NA,NA,1.66,-5.35,NA,1.04,7.27,0.64,NA,NA,NA,203,NA,18.08,NA,NA,140.09,NA,NA,151.5
10018,"C([*])C([*])(C(=O)OCC(C)C)",5.94,3.07,NA,NA,1.67,-5.38,NA,1.08,6.86,0.73,0.41,NA,354,255,NA,18.51,NA,NA,116.07,NA,231,119.3
